eventtype,Acceleration:longitudinal direction,Deceleration:longitudinal direction,Acceleration:lateral direction,Deceleration:lateral direction,Postive jerk:longitudinal direction,Negative jerk :longitudinal direction,Postive jerk:lateral direction,Negative jerk :lateral direction
1,0.85719699,1.362944,2.7300229,1.88473,1.1347899,1.354032,1.082496,1.3815759
1,0.81005073,2.2819829,1.018067,0.41439679,2.026242,1.667425,1.2438051,0.96532249
1,1.253172,1.4346319,1.045241,1.393397,2.7941179,1.507108,1.20002,0.94305032
1,0.93872672,1.76825,1.033766,0.63923877,1.525364,1.985562,1.008015,0.90225339
1,1.0455869,1.7546231,1.42612,0.95272428,2.4683859,1.769224,1.622376,1.019806
1,1.158975,1.148658,1.14487,0.68888807,1.693951,1.847874,2.2198901,1.245921
1,0.73049492,0.9648838,0.3353771,,3.195684,1.643554,1.097349,0.76321542
1,1.4213589,1.605193,0.88462752,0.49314561,2.0055039,1.308532,1.191116,1.058682
1,1.172578,2.3331339,0.99343508,0.79636741,1.314061,1.795382,0.76463509,0.74876052
1,0.90709722,1.144273,1.682349,0.57877189,3.594486,2.8535631,1.192084,0.88365883
1,0.78394651,1.523877,0.85314113,0.54992068,1.6688319,1.077863,1.054093,0.92869049
1,0.77890331,1.427554,1.2575901,0.79782802,1.332309,1.160373,1.06488,0.76988143
1,0.94983202,0.40517321,1.794569,0.4394936,1.527876,2.4482529,1.318797,0.91710949
1,,,,,,,,
1,0.80748278,1.028573,0.80235982,0.87543583,3.4134281,1.883954,1.057068,0.896869
1,0.8204903,2.697633,2.051512,1.482927,2.6432719,2.451185,2.120204,1.283821
1,0.86703581,1.476836,1.128795,0.71752971,1.559186,1.941316,1.174811,1.046402
1,0.94980001,1.460691,1.281073,0.57746851,1.322854,1.482004,1.056855,0.99335867
1,0.77294463,1.704717,0.41112289,1.907234,4.762074,1.644384,0.88817799,0.798554
1,0.70631659,1.190377,1.394473,0.72598553,1.648818,1.400467,1.208071,1.004318
1,0.70148277,1.1720279,1.952495,1.175965,2.0670111,1.700521,2.8331289,2.5650921
1,1.017105,1.657343,1.324837,0.71251178,1.2028069,1.057987,1.153785,0.99421358
1,1.579717,1.630772,1.102844,0.84189981,1.390574,1.474349,0.97408402,0.91993999
1,0.91043878,1.76706,1.013404,0.82465988,1.2545609,0.95117861,1.146633,0.90215093
1,0.63125932,0.96448028,1.057893,0.92884302,1.269842,1.008531,1.052237,1.155956
1,0.72471589,1.608126,1.5574811,0.8292008,1.186905,0.89790177,1.190549,1.014737
1,1.12341,1.067611,0.64504862,1.025212,1.410813,0.92581838,1.347255,0.96396148
1,0.48773301,2.5791011,1.378931,0.74951392,2.4411581,2.975199,1.309917,1.169047
1,0.82849538,1.898986,1.223588,0.98882413,1.566377,1.387593,1.8007751,1.262928
