"","ST_CASE","STATE","VEH_NO.x","HIT_RUN","BODY_TYP","GVWR","V_CONFIG","TRAV_SP","DEFORMED","M_HARM","DR_DRINK","DR_ZIP","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","LAST_YR","PEDS","PERSONS","COUNTY","CITY","DAY_WEEK","MONTH","DAY","YEAR","HOUR","MINUTE","HARM_EV","MAN_COLL","REL_ROAD","LGT_COND","WEATHER","DRUNK_DR","FATALS","LATITUDE","LONGITUD","VEH_NO.y","PER_NO","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","DRINKING","DRUGS","HOSPITAL","DOA","LAG_HRS","LAG_MINS","LOCATION","ttd_mins"
"15022",450244,45,1,0,30,0,0,55,6,1,0,29102,1,0,0,0,0,2008,0,5,45,0,4,4,18,2007,18,25,12,3,1,1,1,0,1,34.85300278,-82.42956389,0,1,72,2,5,4,0,0,0,8,8,0,7,0,0,18,1
"15023",450248,45,1,0,63,3,2,60,0,8,0,29412,1,0,0,3,2,2010,1,1,19,1805,4,5,11,2011,22,18,14,0,4,2,1,0,1,32.86945833,-80.02690278,0,1,50,1,6,4,0,96,97,1,8,0,7,0,0,13,1
"15024",450248,45,1,0,63,3,2,60,0,8,0,29412,1,0,0,3,2,2010,1,1,19,1805,4,5,11,2011,22,18,14,0,4,2,1,0,1,32.86945833,-80.02690278,0,1,37,1,5,4,0,96,97,8,8,0,7,0,0,20,1
"15025",450249,45,1,0,2,0,0,55,6,42,0,29570,0,0,0,2,0,2006,0,1,45,0,7,5,15,2010,11,45,34,0,4,1,1,0,1,34.6277,-82.38364167,0,1,15,1,6,4,0,0,0,8,8,1,0,0,20,12,21
"15026",450251,45,2,0,4,0,0,15,6,12,0,29670,1,0,0,0,0,2006,0,2,7,0,7,4,21,2007,14,56,12,2,1,1,1,0,1,34.54293056,-82.6967,0,1,35,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15027",450254,45,1,0,4,0,0,45,6,9,0,29115,0,0,0,1,0,2008,1,2,83,0,6,5,13,2011,20,55,8,0,1,2,10,0,1,34.98138056,-81.86711389,0,1,55,1,6,4,0,0,0,8,8,1,0,3,53,12,234
"15028",450255,45,2,0,80,0,0,999,6,12,1,29673,0,0,0,1,0,2010,0,2,75,0,3,5,18,2010,16,20,12,6,1,1,1,0,1,33.46814444,-80.84667222,0,1,43,1,5,4,0,0,0,8,8,0,7,0,0,12,1
"15029",450258,45,1,0,31,0,0,55,6,42,0,29710,0,0,0,0,0,0,0,1,51,0,1,4,22,2007,2,27,31,0,4,3,1,1,1,33.84788333,-78.63183889,0,1,24,1,5,4,0,0,0,8,8,1,0,0,43,12,44
"15030",450260,45,2,0,4,0,0,65,6,12,0,29631,1,0,0,1,0,2011,0,6,75,0,2,4,23,2007,7,0,12,5,1,1,1,0,1,33.44115278,-80.70784722,0,1,81,1,5,4,0,96,97,8,8,0,7,0,0,13,1
"15031",450261,45,1,0,14,0,0,45,4,8,0,29732,0,0,0,0,0,0,0,2,51,1825,3,5,17,2011,17,31,12,6,1,1,1,2,1,33.84251111,-78.64811944,0,1,29,2,5,4,0,0,0,1,8,0,7,0,0,12,1
"15032",450262,45,2,0,30,0,0,999,6,12,1,29178,0,0,0,0,1,2009,1,2,83,0,3,4,29,2008,16,44,8,0,1,1,1,0,1,34.9131,-81.749,0,1,61,1,5,4,0,0,0,8,8,1,0,0,9,12,10
