probability,volatility,vol.
0.15271182,0.52608919,volatility(acceleration: longitudinal direction)
0.18353003,0.72913069,volatility(acceleration: longitudinal direction)
0.27358153,1.203544,volatility(acceleration: longitudinal direction)
0.20514494,0.85614288,volatility(acceleration: longitudinal direction)
0.17114867,0.65108937,volatility(acceleration: longitudinal direction)
0.50422651,2.116761,volatility(acceleration: longitudinal direction)
0.72898537,3.0108039,volatility(acceleration: longitudinal direction)
0.28345057,1.248695,volatility(acceleration: longitudinal direction)
0.18325801,0.72746098,volatility(acceleration: longitudinal direction)
0.2037165,0.84806907,volatility(acceleration: longitudinal direction)
0.25856945,1.132862,volatility(acceleration: longitudinal direction)
0.22246692,0.95091349,volatility(acceleration: longitudinal direction)
0.23628174,1.0227751,volatility(acceleration: longitudinal direction)
0.22544691,0.96667528,volatility(acceleration: longitudinal direction)
0.17338936,0.66553462,volatility(acceleration: longitudinal direction)
0.16576077,0.61572891,volatility(acceleration: longitudinal direction)
0.16799794,0.630521,volatility(acceleration: longitudinal direction)
0.15615751,0.55034602,volatility(acceleration: longitudinal direction)
0.22012404,0.93841541,volatility(acceleration: longitudinal direction)
0.24495316,1.066404,volatility(acceleration: longitudinal direction)
0.1952146,0.79911858,volatility(acceleration: longitudinal direction)
0.18652661,0.7473985,volatility(acceleration: longitudinal direction)
0.2291926,0.98627901,volatility(acceleration: longitudinal direction)
0.22761084,0.97802842,volatility(acceleration: longitudinal direction)
0.36230856,1.581512,volatility(acceleration: longitudinal direction)
0.21872245,0.930893,volatility(acceleration: longitudinal direction)
0.27173421,1.194981,volatility(acceleration: longitudinal direction)
0.16501217,0.61074352,volatility(acceleration: longitudinal direction)
0.19860956,0.81885391,volatility(acceleration: longitudinal direction)
0.40092891,1.732051,volatility(acceleration: longitudinal direction)
0.195646,0.80164069,volatility(acceleration: longitudinal direction)
0.20801608,0.87224573,volatility(acceleration: longitudinal direction)
0.28735375,1.266288,volatility(acceleration: longitudinal direction)
0.20012912,0.82760501,volatility(acceleration: longitudinal direction)
0.26412848,1.1593339,volatility(acceleration: longitudinal direction)
0.16171305,0.58855361,volatility(acceleration: longitudinal direction)
0.17174178,0.65492749,volatility(acceleration: longitudinal direction)
0.27679735,1.218365,volatility(acceleration: longitudinal direction)
0.20130575,0.83434701,volatility(acceleration: longitudinal direction)
0.21198681,0.89424801,volatility(acceleration: longitudinal direction)
0.3229447,1.420722,volatility(acceleration: longitudinal direction)
0.20366277,0.84776461,volatility(acceleration: longitudinal direction)
0.34863621,1.52665,volatility(acceleration: longitudinal direction)
0.21203627,0.8945201,volatility(acceleration: longitudinal direction)
0.15944712,0.57310039,volatility(acceleration: longitudinal direction)
0.26843867,1.1796139,volatility(acceleration: longitudinal direction)
0.18996748,0.76809818,volatility(acceleration: longitudinal direction)
0.21786082,0.92625129,volatility(acceleration: longitudinal direction)
0.25218037,1.101975,volatility(acceleration: longitudinal direction)
0.15883704,0.56890941,volatility(acceleration: longitudinal direction)
0.15526092,0.54407662,volatility(acceleration: longitudinal direction)
0.23397711,1.010995,volatility(acceleration: longitudinal direction)
0.43301067,1.8534091,volatility(acceleration: longitudinal direction)
0.22042809,0.94004279,volatility(acceleration: longitudinal direction)
0.2454555,1.068899,volatility(acceleration: longitudinal direction)
0.22130896,0.94474822,volatility(acceleration: longitudinal direction)
0.26262516,1.152211,volatility(acceleration: longitudinal direction)
0.17558193,0.67952752,volatility(acceleration: longitudinal direction)
0.21313234,0.90053928,volatility(acceleration: longitudinal direction)
0.21555895,0.91378558,volatility(acceleration: longitudinal direction)
0.1509016,0.51316547,volatility(acceleration: longitudinal direction)
0.136546,0.4058592,volatility(acceleration: longitudinal direction)
0.17040481,0.64626068,volatility(acceleration: longitudinal direction)
0.16358654,0.60119891,volatility(acceleration: longitudinal direction)
0.1437726,0.46099231,volatility(acceleration: longitudinal direction)
0.17565838,0.68001288,volatility(acceleration: longitudinal direction)
0.16359846,0.60127902,volatility(acceleration: longitudinal direction)
0.16535893,0.61305511,volatility(acceleration: longitudinal direction)
0.14943163,0.50257689,volatility(acceleration: longitudinal direction)
0.1515781,0.51801002,volatility(acceleration: longitudinal direction)
0.16595127,0.61699468,volatility(acceleration: longitudinal direction)
0.18199368,0.71967489,volatility(acceleration: longitudinal direction)
0.17265804,0.66083628,volatility(acceleration: longitudinal direction)
0.15896432,0.56978488,volatility(acceleration: longitudinal direction)
0.18482085,0.73702782,volatility(acceleration: longitudinal direction)
0.16258344,0.59444302,volatility(acceleration: longitudinal direction)
0.2327341,1.004608,volatility(acceleration: longitudinal direction)
0.2315677,0.99859297,volatility(acceleration: longitudinal direction)
0.20457008,0.85289872,volatility(acceleration: longitudinal direction)
0.16871789,0.63524789,volatility(acceleration: longitudinal direction)
0.18736434,0.75246501,volatility(acceleration: longitudinal direction)
0.18539844,0.74054778,volatility(acceleration: longitudinal direction)
0.20316997,0.84496891,volatility(acceleration: longitudinal direction)
0.20061354,0.83038431,volatility(acceleration: longitudinal direction)
0.19465269,0.79582721,volatility(acceleration: longitudinal direction)
0.4200286,1.804617,volatility(acceleration: longitudinal direction)
0.17872907,0.69937432,volatility(acceleration: longitudinal direction)
0.18790734,0.75573969,volatility(acceleration: longitudinal direction)
0.19791624,0.81484431,volatility(acceleration: longitudinal direction)
0.13632402,0.4041273,volatility(acceleration: longitudinal direction)
0.17628217,0.68396741,volatility(acceleration: longitudinal direction)
0.18048294,0.71031618,volatility(acceleration: longitudinal direction)
0.18272233,0.72416723,volatility(acceleration: longitudinal direction)
0.29828104,1.314801,volatility(acceleration: longitudinal direction)
0.1941022,0.79259562,volatility(acceleration: longitudinal direction)
0.21954118,0.93529141,volatility(acceleration: longitudinal direction)
0.16570702,0.61537158,volatility(acceleration: longitudinal direction)
0.17935395,0.7032823,volatility(acceleration: longitudinal direction)
0.2012753,0.83417302,volatility(acceleration: longitudinal direction)
0.24008855,1.042061,volatility(acceleration: longitudinal direction)
0.28085569,1.236918,volatility(acceleration: longitudinal direction)
0.16368404,0.60185379,volatility(acceleration: longitudinal direction)
0.16957107,0.64082861,volatility(acceleration: longitudinal direction)
0.23882875,1.035702,volatility(acceleration: longitudinal direction)
0.23498231,1.016143,volatility(acceleration: longitudinal direction)
0.15660653,0.55347472,volatility(acceleration: longitudinal direction)
0.17107475,0.65061021,volatility(acceleration: longitudinal direction)
0.15450129,0.53874183,volatility(acceleration: longitudinal direction)
0.2414846,1.049081,volatility(acceleration: longitudinal direction)
0.18144764,0.7162993,volatility(acceleration: longitudinal direction)
0.20647484,0.86362219,volatility(acceleration: longitudinal direction)
0.1638547,0.60299939,volatility(acceleration: longitudinal direction)
0.14407653,0.46325991,volatility(acceleration: longitudinal direction)
0.17812717,0.69559979,volatility(acceleration: longitudinal direction)
0.18079373,0.71224648,volatility(acceleration: longitudinal direction)
0.15953684,0.57371569,volatility(acceleration: longitudinal direction)
0.19482253,0.79682279,volatility(acceleration: longitudinal direction)
0.16622055,0.61878198,volatility(acceleration: longitudinal direction)
0.17074326,0.64845967,volatility(acceleration: longitudinal direction)
0.20253246,0.84134471,volatility(acceleration: longitudinal direction)
0.224545,0.96192068,volatility(acceleration: longitudinal direction)
0.33473676,1.469841,volatility(acceleration: longitudinal direction)
0.22147927,0.94565642,volatility(acceleration: longitudinal direction)
0.24706522,1.076871,volatility(acceleration: longitudinal direction)
0.25467429,1.114092,volatility(acceleration: longitudinal direction)
0.19021061,0.76954979,volatility(acceleration: longitudinal direction)
0.18486296,0.73728472,volatility(acceleration: longitudinal direction)
0.21273337,0.89835101,volatility(acceleration: longitudinal direction)
0.19477551,0.79654717,volatility(acceleration: longitudinal direction)
0.20322853,0.84530139,volatility(acceleration: longitudinal direction)
0.20520376,0.8564744,volatility(acceleration: longitudinal direction)
0.17817926,0.6959269,volatility(acceleration: longitudinal direction)
0.2295294,0.98803061,volatility(acceleration: longitudinal direction)
0.138629,0.4219968,volatility(acceleration: longitudinal direction)
0.18658619,0.7477594,volatility(acceleration: longitudinal direction)
0.21263339,0.89780211,volatility(acceleration: longitudinal direction)
0.20160946,0.83608252,volatility(acceleration: longitudinal direction)
0.32139868,1.414214,volatility(acceleration: longitudinal direction)
0.15931386,0.57218611,volatility(acceleration: longitudinal direction)
0.20942572,0.88009173,volatility(acceleration: longitudinal direction)
0.19153221,0.77741629,volatility(acceleration: longitudinal direction)
0.19243324,0.78275561,volatility(acceleration: longitudinal direction)
0.1912238,0.77558422,volatility(acceleration: longitudinal direction)
